INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
16190-01,CNNAJWUZ1001E,ds-1/0/0:32:1,10.139.224.21,10.139.224.22
21086-01,CNNAJWUZ1001E,ds-1/0/1:2:1,172.28.128.25,172.28.128.26
15470-02,CNNAJWUZ1001E,ds-1/0/0:5:1,10.114.79.65,10.114.79.66
23637-01,CNNAJWUZ1001E,ge-0/0/9.150,10.117.32.245,10.117.32.246
19555-02,CNNAJWUZ1001E,e1-1/0/1:21.100,192.168.127.69,192.168.127.70
26269-01,CNNAJWUZ1001E,ds-1/0/1:32:1.100,62.5.100.37,62.5.100.38
26342-01,CNNAJWUZ1001E,ge-0/0/9.1200,10.117.87.181,10.117.87.182
26882-01,CNNAJWUZ1001E,ge-0/0/9.138,133.145.10.146,133.145.10.145
27124-02,CNNAJWUZ1001E,ge-0/0/9.1205,172.30.1.73,172.30.1.74
27906-01,CNNAJWUZ1001E,ge-0/0/9.1215,10.117.119.201,10.117.119.202
29561-01,CNNAJWUZ1001E,ge-0/0/9.1220,10.117.139.113,10.117.139.114
30720-01,CNNAJWUZ1002E,ge-0/0/9.105,172.16.11.2,172.16.11.1
20269-03,CNNAJWUZ1002E,ge-0/0/9.108,172.30.1.9,172.30.1.10
14355-03,CNNAJWUZ1001E,ds-1/0/0:14:1,10.114.79.33,10.114.79.34
11888-05,CNNAJWUZ1001E,ge-0/0/9.157,10.117.1.53,10.117.1.54
25624-02,CNNAJWUZ1001E,e1-1/0/1:23,10.117.79.49,10.117.79.50
32184-01,CNNAJWUZ1001E,ds-1/0/1:9:1,10.117.207.145,10.117.207.146
32230-01,CNNAJWUZ1001E,ds-1/0/1:11:1,172.30.252.189,172.30.252.190
32434-01,CNNAJWUZ1001E,ds-1/0/1:17:1,10.117.179.197,10.117.179.198
32594-01,CNNAJWUZ1001E,ds-1/0/0:19:1,10.117.179.253,10.117.179.254
18037-02,CNNAJWUZ1001E,ge-0/0/9.1203,172.30.78.25,172.30.78.26
33261-01,CNNAJWUZ1001E,ds-1/0/1:28:1,10.117.181.53,10.117.181.54
33388-01,CNNAJWUZ1001E,ds-1/0/1:37:1.100,172.17.51.101,172.17.51.102
34086-01,CNNAJWUZ1002E,ge-0/0/9.118,81.11.112.117,81.11.112.118
04831-04,CNNAJWUZ1001E,ds-1/0/0:4:1,10.114.62.221,10.114.62.222
30370-02,CNNAJWUZ1001E,ds-1/0/1:46:1,10.117.133.73,10.117.133.74
33649-02,CNNAJWUZ1002E,ge-0/1/1.326,10.24.0.94,10.24.0.93
34982-01,CNNAJWUZ1001E,e1-1/0/1:3,10.117.203.253,10.117.203.254
25039-03,CNNAJWUZ1001E,ge-0/0/9.1211,202.76.119.21,202.76.119.22
35615-01,CNNAJWUZ1002E,ge-0/1/1.327,10.117.218.61,10.117.218.62
22449-02,CNNAJWUZ1001E,ge-0/0/9.1213,172.18.2.65,172.18.2.66
36978-01,CNNAJWUZ1002E,ge-0/1/1.329,10.117.219.245,10.117.219.246
11948-04,CNNAJWUZ1002E,ge-0/0/9.107,10.114.79.21,10.114.79.22
37604-01,CNNAJWUZ1002E,ge-0/1/1.331,10.172.122.117,10.172.122.118
25045-06,CNNAJWUZ1001E,ge-0/0/9.1212,192.168.252.49,192.168.252.50
20215-03,CNNAJWUZ1001E,ge-0/0/9.1204,218.96.200.209,218.96.200.210
39000-01,CNNAJWUZ1002E,ge-0/1/2.390,10.122.3.193,10.122.3.194
39027-01,CNNAJWUZ1001E,ds-1/0/1:31:1,10.117.161.53,10.117.161.54
26054-03,CNNAJWUZ1001E,ds-1/0/1:25:1,100.65.0.9,100.65.0.10
34707-02,CNNAJWUZ1001E,ge-0/0/0,10.17.65.181,10.17.65.182
39601-01,CNNAJWUZ1002E,ge-0/1/2.393,10.81.93.109,10.81.93.110
28517-04,CNNAJWUZ1002E,ge-0/1/2.394,10.126.122.245,10.126.122.246
39817-01,CNNAJWUZ1002E,ge-0/1/2.402,10.117.161.69,10.117.161.70
25496-03,CNNAJWUZ1002E,ge-0/1/2.399,10.117.93.241,10.117.93.242
23500-03,CNNAJWUZ1002E,ge-0/1/2.400,10.117.32.205,10.117.32.206
40270-01,CNNAJWUZ1002E,ge-0/1/2.398,172.30.80.17,172.30.80.18
40470-01,CNNAJWUZ1002E,ge-0/1/2.403,62.5.100.41,62.5.100.42
40818-01,CNNAJWUZ1002E,ge-0/1/2.406,152.101.22.93,152.101.22.94
39400-02,CNNAJWUZ1002E,ge-0/1/1.335,10.117.81.225,10.117.81.226
41875-01,CNNAJWUZ1002E,ge-0/0/9.102,62.5.100.61,62.5.100.62
41906-01,CNNAJWUZ1002E,ge-0/1/2.407,10.122.9.53,10.122.9.54
42418-01,CNNAJWUZ1002E,ge-0/1/2.408,62.5.101.1,62.5.101.2
42653-01,CNNAJWUZ1002E,ge-0/1/1.339,10.117.80.73,10.117.80.74
18576-05,CNNAJWUZ1002E,ge-0/1/2.405,172.20.2.109,172.20.2.110
36721-02,CNNAJWUZ1002E,ge-0/1/1.328,192.168.113.98,192.168.113.97
35532-02,CNNAJWUZ1002E,ge-0/0/9.243,172.24.5.165,172.24.5.166
31727-04,CNNAJWUZ1001E,ge-0/0/9.1207,100.65.0.77,100.65.0.78
44221-01,CNNAJWUZ1002E,ge-0/1/1.340,10.122.83.41,10.122.83.42
31901-02,CNNAJWUZ1001E,e1-1/0/1:7,172.30.252.13,172.30.252.14
44522-01,CNNAJWUZ1001E,ge-0/0/9.112,192.168.247.149,192.168.247.150
40222-02,CNNAJWUZ1002E,ge-0/1/1.333,10.167.254.106,10.167.254.105
24944-02,CNNAJWUZ1001E,e1-1/0/0:16,10.51.4.137,10.51.4.138
42812-02,CNNAJWUZ1002E,ge-0/1/2.409,192.168.204.29,192.168.204.30
42832-02,CNNAJWUZ1002E,ge-0/1/2.410,192.168.204.33,192.168.204.34
45299-01,CNNAJWUZ1002E,ge-0/1/1.342,10.117.161.117,10.117.161.118
39492-02,CNNAJWUZ1002E,ge-0/1/2.392,117.58.183.201,117.58.183.202
39902-02,CNNAJWUZ1002E,ge-0/1/3.100,172.24.6.245,172.24.6.246
45483-01,CNNAJWUZ1002E,ge-0/0/9.103,10.117.169.149,10.117.169.150
14820-07,CNNAJWUZ1001E,ge-0/0/9.1218,10.115.120.253,10.115.120.254
49061-01,CNNAJWUZ1002E,ge-0/1/1.344,10.117.88.189,10.117.88.190
49387-01,CNNAJWUZ1002E,ge-0/1/1.345,10.117.203.237,10.117.203.238
18963-04,CNNAJWUZ1001E,ge-0/0/1.302,192.168.248.117,192.168.248.118
20129-03,CNNAJWUZ1001E,ge-0/0/1.301,172.16.224.54,172.16.224.53
50036-01,CNNAJWUZ1001E,ge-0/0/1.303,10.122.100.117,10.122.100.118
50016-01,CNNAJWUZ1001E,ge-0/0/1.304,192.168.6.254,192.168.6.253
30247-02,CNNAJWUZ1001E,ge-0/0/1.305,10.77.15.37,10.77.15.38
35167-03,CNNAJWUZ1001E,ge-0/0/1.306,10.1.129.81,10.1.129.82
44580-02,CNNAJWUZ1001E,ge-0/0/1.307,10.122.84.25,10.122.84.26
50349-01,CNNAJWUZ1001E,ge-0/0/1.309,192.168.103.81,192.168.103.82
50402-01,CNNAJWUZ1001E,ge-0/0/1.308,10.122.105.25,10.122.105.26
05180-06,CNNAJWUZ1002E,ge-0/1/1.337,172.24.4.141,172.24.4.142
42580-02,CNNAJWUZ1002E,ge-0/1/1.338,10.117.133.237,10.117.133.238
50870-01,CNNAJWUZ1001E,ds-1/0/0:7:1,10.117.133.213,10.117.133.214
50847-01,CNNAJWUZ1002E,ge-0/1/1.341,10.122.61.65,10.122.61.66
50884-01,CNNAJWUZ1002E,ge-0/1/1.343,10.122.83.37,10.122.83.38
51442-01,CNNAJWUZ1002E,ge-0/1/1.346,10.122.11.209,10.122.11.210
35532-03,CNNAJWUZ1002E,ge-0/1/1.347,172.24.5.165,172.24.5.166
52241-01,CNNAJFEH1001E,ge-0/0/2.447,10.117.217.5,10.117.217.6
