INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
22777-01,TWTPEASP1001E,ge-0/0/8.104,10.146.252.65,10.146.252.66
25371-01,TWTPEASP1003E,ge-0/0/8.202,10.114.12.9,10.114.12.10
26520-01,TWTPEASP1002E,ds-1/2/3:1,10.117.81.113,10.117.81.114
21429-02,TWTPEASP1001E,ds-1/0/0:28:1,10.117.13.37,10.117.13.38
30829-01,TWTPEASP1001E,ds-1/0/0:36:1,192.168.90.33,192.168.90.34
25371-02,TWTPEASP1003E,ge-0/0/8.202,10.114.12.9,10.114.12.10
16662-03,TWTPEASP1001E,ds-1/0/0:9:1,10.114.213.217,10.114.213.218
10413-03,TWTPEASP1003E,ge-0/0/8.241,10.114.12.229,10.114.12.230
25371-03,TWTPEASP1003E,ge-0/0/8.202,10.114.12.9,10.114.12.10
35442-01,TWTPEASP1003E,ge-0/0/8.210,10.117.217.57,10.117.217.58
35982-01,TWTPEASP1001E,ge-0/0/8.113,10.114.116.253,10.114.116.254
36252-01,TWTPEASP1003E,ge-0/0/8.200,10.117.180.241,10.117.180.242
27594-02,TWTPEASP1001E,ds-1/0/0:1:1,10.117.87.41,10.117.87.42
38374-01,TWTPEASP1001E,ge-0/0/9.101,10.117.232.113,10.117.232.114
40018-01,TWTPEASP1003E,ge-0/0/8.133,10.117.83.41,10.117.83.42
40061-01,TWTPEASP1001E,ge-0/0/8.210,10.117.89.53,10.117.89.54
16699-06,TWTPEASP1001E,ge-0/0/8.101,10.114.213.157,10.114.213.158
40498-01,TWTPEASP1003E,ge-0/0/8.126,10.117.193.245,10.117.193.246
13739-05,TWTPEASP1001E,ge-0/0/9.111,10.114.101.105,10.114.101.106
42058-01,TWTPEASP1001E,ge-0/0/9.119,10.122.0.161,10.122.0.162
42561-01,TWTPEASP1001E,ge-0/0/9.120,10.117.83.49,10.117.83.50
44387-01,TWTPEASP1003E,ge-0/0/9.102,10.122.2.229,10.122.2.230
41339-02,TWTPEASP1001E,ge-0/0/9.121,10.5.1.81,10.5.1.82
45929-01,TWTPEASP1003E,ge-0/0/9.116,10.117.219.89,10.117.219.90
33743-03,TWTPEASP1003E,ge-0/0/8.103,10.117.159.93,10.117.159.94
