INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
21406-01,CNTIJKEY1001E,ge-1/0/0.126,134.159.158.165,134.159.158.166
22730-01,CNTIJKEY1001E,ge-1/0/0.149,10.255.201.93,10.255.201.94
23234-01,CNTIJKEY1001E,ge-1/0/0.1251,172.23.14.181,172.23.14.182
23704-01,CNTIJKEY1001E,ge-1/0/0.109,10.117.38.13,10.117.38.14
24549-01,CNTIJKEY1001E,ge-1/0/0.141,192.168.100.13,192.168.100.14
25514-01,CNTIJKEY1001E,ge-1/0/0.144,192.168.6.97,192.168.6.98
21035-04,CNTIJKEY1001E,ge-1/0/0.1252,10.117.7.45,10.117.7.46
16776-02,CNTIJKEY1001E,ge-1/0/0.302,172.21.123.197,172.21.123.198
29677-01,CNTIJKEY1001E,ge-1/0/0.111,10.117.140.33,10.117.140.34
30134-01,CNTIJKEY1001E,ge-1/0/0.127,192.168.16.141,192.168.16.142
30145-01,CNTIJKEY1001E,ge-1/0/0.308,10.212.185.65,10.212.185.66
29826-02,CNTIJKEY1001E,ge-1/0/0.368,10.117.136.217,10.117.136.218
22079-02,CNTIJKEY1001E,ge-1/0/0.117,202.76.95.57,202.76.95.58
25621-04,CNTIJKEY1001E,ge-1/0/0.311,10.117.79.53,10.117.79.54
18886-03,CNTIJKEY1001E,ge-1/0/0.369,10.210.252.37,10.210.252.38
32672-01,CNTIJKEY1001E,ge-1/0/0.320,10.117.180.221,10.117.180.222
34472-01,CNTIJKEY1001E,ge-1/0/0.370,10.117.188.49,10.117.188.50
37110-01,CNTIJKEY1001E,ge-1/0/0.371,171.16.218.2,171.16.218.1
33268-02,CNTIJKEY1001E,ge-1/0/0.327,198.19.25.53,198.19.25.54
15823-03,CNTIJKEY1001E,ge-1/0/0.328,10.114.37.229,10.114.37.230
40102-01,CNTIJKEY1001E,ge-1/0/0.324,192.168.240.13,192.168.240.14
20599-03,CNTIJKEY1001E,ge-1/0/0.115,10.10.22.2,10.10.22.1
40918-01,CNTIJKEY1001E,ge-1/0/0.331,114.28.65.13,114.28.65.14
40989-01,CNTIJKEY1001E,ge-1/0/0.332,10.129.39.61,10.129.39.62
41308-01,CNTIJKEY1001E,ge-1/0/0.335,10.200.7.109,10.200.7.110
41307-01,CNTIJKEY1001E,ge-1/0/0.334,10.200.7.113,10.200.7.114
41543-01,CNTIJKEY1001E,ge-1/0/0.372,172.16.202.45,172.16.202.46
41485-01,CNTIJKEY1001E,ge-1/0/0.336,172.16.253.66,172.16.253.65
41015-02,CNTIJKEY1001E,ge-1/0/0.333,10.167.254.50,10.167.254.49
29364-02,CNTIJKEY1001E,ge-1/0/0.367,10.156.136.61,10.156.136.62
27003-02,CNTIJKEY1001E,ge-1/0/0.304,10.117.87.125,10.117.87.126
40115-02,CNTIJKEY1001E,ge-1/0/0.330,10.212.185.81,10.212.185.82
49986-01,CNTIJKEY1001E,ge-1/0/0.374,10.122.100.77,10.122.100.78
27371-03,CNTIJKEY1001E,ge-1/0/0.375,10.117.86.41,10.117.86.42
24251-03,CNTIJKEY1001E,ge-1/0/0.376,10.117.38.181,10.117.38.182
29531-03,CNTIJKEY1001E,ge-1/0/0.366,10.117.135.161,10.117.135.162
25801-02,CNTIJKEY1001E,ge-1/0/0.339,10.246.0.34,10.246.0.33
50766-01,CNTIJKEY1001E,ge-1/0/0.338,172.16.224.57,172.16.224.58
50936-01,CNTIJKEY1001E,ge-1/0/0.377,192.168.102.93,192.168.102.94
50961-01,CNTIJKEY1001E,ge-1/0/0.384,10.64.4.17,10.64.4.18
51025-01,CNTIJKEY1001E,ge-1/0/0.341,10.122.106.21,10.122.106.22
42358-02,CNTIJKEY1001E,ge-1/0/0.1250,10.16.8.73,10.16.8.74
38288-02,CNTIJKEY1001E,ge-1/0/0.325,10.252.22.81,10.252.22.82
51377-01,CNTIJKEY1001E,ge-1/0/0.342,10.117.181.9,10.117.181.10
51528-01,CNTIJKEY1001E,ge-1/0/0.343,192.168.106.17,192.168.106.18
