INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
29287-01,MYKULMAH1003E,ge-0/0/9.100,10.117.138.73,10.117.138.74
31218-01,MYKULMAH1003E,ge-0/0/9.104,10.117.160.137,10.117.160.138
31603-01,MYKULMAH1002E,ge-0/0/9.102,10.117.161.93,10.117.161.94
31609-01,MYKULMAH1003E,ge-0/0/9.103,10.117.166.177,10.117.166.178
28353-02,MYKULMAH1002E,ge-0/0/9.101,10.117.120.137,10.117.120.138
33645-01,MYKULMAH1001E,ds-0/3/1:1,10.117.182.209,10.117.182.210
34457-01,MYKULMAH1001E,ds-0/3/2:1,10.224.254.145,10.224.254.146
28744-03,MYKULMAH1003E,ge-0/0/9.107,10.117.122.17,10.117.122.18
37223-01,MYKULMAH1003E,ge-0/0/9.108,172.26.31.37,172.26.31.38
38618-01,PHMNLPLD1002E,ge-0/1/0.312,10.117.237.73,10.117.237.74
38649-01,MYKULMAH1003E,ge-0/0/9.109,10.122.0.37,10.122.0.38
38652-01,MYKULMAH1002E,ge-0/0/9.105,10.117.237.129,10.117.237.130
38654-01,MYKULMAH1003E,ge-0/0/9.110,10.122.75.17,10.122.75.18
38657-01,MYKULMAH1002E,ge-0/0/9.106,10.122.0.53,10.122.0.54
38663-01,MYKULMAH1003E,ge-0/0/9.111,10.122.0.69,10.122.0.70
38668-01,MYKULMAH1003E,ge-0/0/9.112,10.122.75.13,10.122.75.14
38670-01,MYKULMAH1002E,ge-0/0/9.107,10.117.119.17,10.117.119.18
38676-01,MYKULMAH1003E,ge-0/0/9.113,10.122.62.41,10.122.62.42
38679-01,MYKULMAH1002E,ge-0/0/9.109,10.122.1.5,10.122.1.6
38684-01,MYKULMAH1003E,ge-0/0/9.115,10.122.2.173,10.122.2.174
38781-01,VNSGNVNP1001E,ge-0/0/9.111,10.117.161.177,10.117.161.178
38802-01,VNSGNVNP1001E,ge-0/0/9.103,10.122.1.189,10.122.1.190
39677-01,MYKULMAH1002E,ge-0/0/9.104,10.117.160.17,10.117.160.18
40410-01,VNSGNVNP1002E,ge-0/0/9.105,10.122.22.77,10.122.22.78
25543-03,MYKULMAH1002E,ge-0/0/9.100,10.117.79.137,10.117.79.138
32217-04,MYKULMAH1003E,ge-0/0/9.102,10.117.166.197,10.117.166.198
41610-01,MYKULMAH1002E,ge-0/0/9.111,10.117.220.225,10.117.220.226
35155-02,MYKULMAH1003E,ge-0/0/9.105,10.117.204.217,10.117.204.218
38796-03,VNSGNVNP1001E,ge-0/0/9.129,10.122.1.177,10.122.1.178
45624-01,MYKULMAH1003E,ge-0/0/9.101,10.117.143.1,10.117.143.2
38674-02,MYKULMAH1002E,ge-0/0/9.113,10.122.99.153,10.122.99.154
36648-03,MYKULMAH1002E,ge-0/0/9.103,10.117.230.137,10.117.230.138
33928-02,MYKULMAH1003E,ge-0/0/9.106,10.117.187.21,10.117.187.22
27569-02,MYKULMAH1002E,ge-0/0/9.108,10.117.82.137,10.117.82.138
40237-02,VNSGNVNP1001E,ge-0/0/9.120,10.117.82.121,10.117.82.122
