GID,SERVICE_NAME,CUSTOMER_LEVEL,PARTNERCHANNEL,COMPANYNAME,SITEID,SITEIDCUSTASSIGNED,POP,INTERNALSITEID,CIRCUIT_TYPE,LLPROVIDER,PEROUTER
43333,TCP / CeOne,Partner,Telstra,Angst+Pfister Trade,4333316776TiJ,TIJ GIP 7127962,TiJ,16776-02,Metro Lan,CU,CNTIJKEY1001E
44881,TCP / CeOne,Partner,British Telecom,Jabil,4488130134TiJ,S1142536,TiJ,30134-01,Metro Lan,CU,CNTIJKEY1001E
45575,TCP / CeOne,VIP/Platinum,N/A (Direct Customer),MITSUI CHEMICALS,4557532667TiJ,,TiJ,32667-01,Metro Lan,CU,CNTIJKEY1001E
46072,TCP / CeOne,VIP/Platinum,N/A (Direct Customer),利星行（天津）汽车销售服务有限公司,4607235948TiJ,利星行（天津）,TiJ,35948-01,Metro Lan,CU,CNTIJKEY1002E
45805,TCP / CeOne,Partner,NTT Com Asia,Nxp Semiconductors N.V,4580538182TiJ,W171000823,TiJ,38182-01,Metro Lan,CU,CNTIJKEY1002E
45805,TCP / CeOne,Partner,NTT Com Asia,Nxp Semiconductors N.V,4580538183TiJ,W171000824,TiJ,38183-01,Metro Lan,CU,CNTIJLAT1001E
45805,TCP / CeOne,Partner,NTT Com Asia,Nxp Semiconductors N.V,4580538883TiJ,W171000069,TiJ,38883-01,Metro Lan,CU,CNTIJKEY1002E
20105,TCP / CeOne,VIP/Platinum,N/A (Direct Customer),Li & Fung (Trading) Ltd,2010522536TiJ,TCP-TiJ,TiJ,22536-04,Metro Lan,CU,CNTIJKEY1002E
46438,TCP / CeOne,Partner,NTT Com Asia,"Rohm Co., Ltd",4643837831TiJ,W171000132,TiJ,37831-02,Metro Lan,CU,CNTIJKEY1002E
41564,CeBiz,Partner,KDDI,Alpine,4156444384TiJ,ALPS Electric/ E180700680,TiJ,44384-01,Metro Lan,CU,CNTIJKEY1002E
SG46552,TCP / CeOne,Partner,SingTel,Mikuni Corporation,SG4655238527TiJ,00142052TJN,TiJ,38527-03,Metro Lan,CU,CNTIJKEY1002E
EU47763,TCP / CeOne,Partner,GTT - EU,Mahle,EU4776350845TiJ,n/a,TiJ,50845-01,Metro Lan,CU,CNTIJKEY1002E
EU47763,TCP / CeOne,Partner,GTT - EU,Mahle,EU4776350846TiJ,n/a,TiJ,50846-01,Metro Lan,CU,CNTIJLAT1001E
